Index,Acreage_data Page,Pop_data Page,STATE/SUPERINTENDENCY,TRIBE,AGENCY,RESERVATION,YEAR,POPULATION,ACREAGE,SCHOOL,N_STUDENTS,DAY Y/N/B,BOARDING_N_ACC,DAY_N_ACC,STUDENTS_ENROLL,AVG_ATTENDANCE,N_MISSIONARIES,ARCHIVE NOTES,,
174,386,382,,Chippewas of Lake Superior ,various bands,,1867,4500,NA,NA,19+33,NA,NA,NA,,NA,NA,,,
175,386,397,,Winnebagoes and Pattawatomies,Special Agency Wisconsin,,1867,1350,NA,NA,,NA,NA,NA,,NA,,,,
176,385,381,Oregan Superintendency,,Siletz Agency ,,1867,2288,combined w/above,NA,7+7,NA,NA,NA,,NA,NA,,,
177,386,397,,Sac and Fox Indians of Iowa,Sac and Fox Agency of Iowa,,1867,264,NA,NA,,NA,NA,NA,,NA,,,,
178,386,381,,Cattaraugus,New York Agency ,,1867,1374,21680 (A),NA,190+190,NA,NA,NA,,NA,3,,,
179,386,381,,Cayugas with Senecas,New York Agency ,,1867,159,NA,NA,NA,NA,NA,NA,,NA,NA,,,
180,NA,381,,Onondagas with Senecas,New York Agency ,,1867,143,NA,NA,NA,NA,NA,NA,,NA,3,,,
181,386,382,,Allegheny ,New York Agency ,,1867,897,30469 (A),NA,106+79,NA,NA,NA,,NA,2,,,
182,386,382,,Tonawanda,New York Agency ,,1867,581,7000 (A),NA,45+50,NA,NA,NA,,NA,1,,,
183,386,382,,Tuscaroras,New York Agency ,,1867,367,6000 (A),NA,47+46,NA,NA,NA,,NA,2,,,
184,386,382,,Oneidas,New York Agency ,,1867,192,288 (A),NA,40+14,NA,NA,NA,,NA,1,,,
185,NA,382,,Oneidas with Onondagas,New York Agency ,,1867,98,NA,NA,NA,NA,NA,NA,,NA,1,,,
186,386,382,,Onondagas  ,New York Agency ,,1867,325,61000 (A),NA,85+69,NA,NA,NA,,NA,1,,,
187,386,382,,Chippewas of Lake Superior ,Michigan Agency ,,1867,1060,100 (sm),NA,59+63,NA,NA,NA,,NA,2,,,
188,386,382,,Ottawas and Chippewas,Michigan Agency ,,1867,5120,1000 (sm),NA,237+160,NA,NA,NA,,NA,10,,,
189,386,382,,Chippewas of Saginaw,Michigan Agency ,,1867,1550,200 (sm),NA,116+80,NA,NA,NA,,NA,4,,,
190,386,382,,"Chippewas Ottawas, and Pottawatomies",Michigan Agency ,,1867,232,NA,NA,27+22,NA,NA,NA,,NA,NA,,,
191,386,382,,Pottowatomies of Huron,Michigan Agency ,,1867,46,NA,NA,NA,NA,NA,NA,,NA,NA,,,
192,386,382,,Stockbridges and Munsees,Green Bay Agency,,1867,492,46080 (A),NA,NA,NA,NA,NA,,NA,1,,,
193,386,382,,Oneidas,Green Bay Agency,,1867,1133,61000 (A),NA,93+81,NA,NA,NA,,NA,1,,,
194,386,382,,Menomonees,Green Bay Agency,,1867,1393,230400 (A),NA,56+83,NA,NA,NA,,NA,1,,,
195,385,381,Oregan Superintendency,,Alsea Agency,,1867,525,1720 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
196,386,397,,Mississippi Indians,Agency of the Chippewas of the Mississippi,,1867,2166,3200 (sm),NA,,NA,NA,NA,,NA,,,,
197,386,397,,Pillager and Lake Winnebagoshish,Agency of the Chippewas of the Mississippi,,1867,1899,400 (sm),NA,,NA,NA,NA,,NA,,,,
198,386,397,,Red Lake Indians,Agency of the Chippewas of the Mississippi,,1867,1183,5000 (sm),NA,,NA,NA,NA,,NA,,,,
199,386,397,,Pembina Indians,Agency of the Chippewas of the Mississippi,,1867,931,combined w/above,NA,,NA,NA,NA,,NA,,,,
200,383,378,Northern Superintendency,Winnebagoes,,,1867,1695,200 (sm),NA,NA,NA,NA,NA,,NA,NA,,,
201,383,378,Northern Superintendency,Omahas,,,1867,995,540 (sm),NA,40+22,NA,NA,NA,,NA,6,,,
202,383,378,Northern Superintendency,Ottoes and Missourias,,,1867,487,450 (sm),NA,45+40,NA,NA,NA,,NA,NA,,,
203,383,378,Northern Superintendency,Pawnees,,,1867,2935,NA,NA,40+28,NA,NA,NA,,NA,NA,,,
204,383,378,Northern Superintendency,Sacs and Foxes of Missouri,,,1867,77,16000 (A),NA,NA,NA,NA,NA,,NA,NA,,,
205,383,378,Northern Superintendency,Iowas,,,1867,254,16000 (A),NA,26+14,NA,NA,NA,,NA,1,,,
