STUSPS,total_acres_2021,year,morill_acres,homestead_acres,morill_acres_cum,homestead_acres_cum
MT,96047859.24626052,1883,0,18028,97694.68999999,120731
MT,96047859.24626052,1884,160,18527,97854.68999999,139258
MT,96047859.24626052,1885,0,18658,97854.68999999,157916
MT,96047859.24626052,1886,0,30613,97854.68999999,188529
MT,96047859.24626052,1887,0,32513,97854.68999999,221042
MT,96047859.24626052,1888,0,45933,97854.68999999,266975
MT,96047859.24626052,1889,0,54901,97854.68999999,321876
MT,96047859.24626052,1890,0,53692,97854.68999999,375568
MT,96047859.24626052,1891,0,53627,97854.68999999,429195
MT,96047859.24626052,1892,0,60110,97854.68999999,489305
MT,96047859.24626052,1893,0,52251,97854.68999999,541556
MT,96047859.24626052,1894,30085.684927680002,46890,127940.37492767001,588446
MT,96047859.24626052,1895,25254.33282637,59088,153194.70775404002,647534
